singer,title,film_album,film_or_nonfilm,year,Language
Lata Mangeshkar,Aayega Aanewala,Mahal,Film,1949,Hindi
Lata Mangeshkar,Ajib Dastan Hai Yeh,Dil Apna Aur Preet Parai,Film,1960,Hindi
Lata Mangeshkar,Pyar Kiya To Darna Kya,Mughal-E-Azam,Film,1960,Hindi
Lata Mangeshkar,Aap Ki Nazron Ne Samjha,Anpadh,Film,1962,Hindi
Lata Mangeshkar,Kahin Deep Jale Kahin Dil,Bees Saal Baad,Film,1962,Hindi
Lata Mangeshkar,Tera Mera Pyar Amar,Asli Naqli,Film,1962,Hindi
Lata Mangeshkar,Lag Ja Gale Se Phir,Woh Kaun Thi,Film,1964,Hindi
Lata Mangeshkar,Aaj Phir Jeene Ki Tamanna Hai,Guide,Film,1965,Hindi
Lata Mangeshkar,Piya Tose Naina Laage Re,Guide,Film,1965,Hindi
Lata Mangeshkar,Ye Samaa Samaa Hai Pyar Ka,Jab Jab Phool Khile,Film,1965,Hindi
Lata Mangeshkar,Aaja Piya Tohe Pyar Doon,Baharon Ke Sapne,Film,1967,Hindi
Lata Mangeshkar,Bahon Mein Chale Aao,Anamika,Film,1973,Hindi
Lata Mangeshkar,Jane Kyon Log Mohabbat Kiya,Mehboob Ki Mehndi,Film,1971,Hindi
Lata Mangeshkar,Bangle Ke Peechhe,Samadhi,Film,1972,Hindi
Lata Mangeshkar,Chalte Chalte Yun Hi Koi,Pakeezah,Film,1972,Hindi
Lata Mangeshkar,Main Tere Ishq Mein,Loafer,Film,1973,Hindi
Lata Mangeshkar,Tere Bina Jiya Jaye Naa,Ghar,Film,1978,Hindi
Lata Mangeshkar,Tune O Rangeele,Kudrat,Film,1981,Hindi
Lata Mangeshkar,Solah Baras Ki Bali Umar,Ek Duuje Ke Liye,Film,1981,Hindi
Lata Mangeshkar,Tujhse Naraz Nahin Zindagi,Masoom,Film,1983,Hindi
Lata Mangeshkar,Sun Sahiba Sun,Ram Teri Ganga Maili,Film,1985,Hindi
Lata Mangeshkar,Didi Tera Devar Deewana,Hum Aapke Hain Koun,Film,1994,Hindi
Lata Mangeshkar,Yara Seeli Seeli,Lekin,Film,1990,Hindi
Lata Mangeshkar,Maye Ni Maye,Hum Aapke Hain Koun,Film,1994,Hindi
Lata Mangeshkar,Mere Khwabon Mein,Dilwale Dulhania Le Jayenge,Film,1995,Hindi
Asha Bhosle,Aaiye Meharban,Howrah Bridge,Film,1958,Hindi
Asha Bhosle,Paan Khaye Saiyan Hamarao,Teesri Manzil,Film,1966,Hindi
Asha Bhosle,Jhumka Gira Re,Mera Saaya,Film,1966,Hindi
Asha Bhosle,Raat Akeli Hai,Jewel Thief,Film,1967,Hindi
Asha Bhosle,Raat Ke Humsafar,An Evening In Paris,Film,1967,Hindi
Asha Bhosle,Aao Huzoor Tumko,Kismet,Film,1968,Hindi
Asha Bhosle,Parde Mein Rahne Do,Shikar,Film,1968,Hindi
Asha Bhosle,Dum Maro Dum Mit Jaye Gham,Hare Rama Hare Krishna,Film,1971,Hindi
Asha Bhosle,Piya Tu Ab To Aaja,Caravan,Film,1971,Hindi
Asha Bhosle,Zindagi Ek Safar Hai Suhana,Andaz,Film,1971,Hindi
Asha Bhosle,Jaaneman Jaaneman Tere Do Nain,Chhoti Si Baat,Film,1976,Hindi
Asha Bhosle,Yeh Mera Dil Yaar Ka Deewana,Don,Film,1978,Hindi
Asha Bhosle,Dil Cheez Kya Hai,Umrao Jaan,Film,1981,Hindi
Asha Bhosle,In Ankhon Ki Masti,Umrao Jaan,Film,1981,Hindi
Asha Bhosle,Jawani Jan-E-man,Namak Halaal,Film,1982,Hindi
Asha Bhosle,Chhoti Si Kahani Se,Ijaazat,Film,1987,Hindi
Asha Bhosle,Mera Kuchh Saamaan,Ijaazat,Film,1987,Hindi
Asha Bhosle,Tanha Tanha Yahan Pe Jeena,Rangeela,Film,1995,Hindi
Asha Bhosle,Zara Sa Jhoom Loon Main,Dilwale Dulhania Le Jayenge,Film,1995,Hindi
Asha Bhosle,Le Gayi,Dil To Pagal Hai,Film,1997,Hindi
Asha Bhosle,Mujhe Rang De,Thakshak,Film,1999,Hindi
Asha Bhosle,Kambakht Ishq,Pyaar Tune Kya Kiya,Film,2001,Hindi
Asha Bhosle,Sharara Sharara,Mere Yaar Ki Shaadi Hai,Film,2002,Hindi
Asha Bhosle,Woh Koi Aaya Lachak Uthi Kaya,Dastan,Film,1972,Hindi
Asha Bhosle,Haye Bichhua Das Gayo Re,Jheel Ke Us Paar,Film,1973,Hindi
Alka Yagnik,Gali Mein Aaj Chand Nikla,Zakhm,Film,1998,Hindi
Alka Yagnik,Agar Tum Saath Ho,Tamasha,Film,2015,Hindi
Alka Yagnik,Poocho Zara Poocho,Raja Hindustani,Film,1996,Hindi
Alka Yagnik,Paayal Meri,Rajkumar,Film,1996,Hindi
Alka Yagnik,Aaye Ho Meri Zindagi Mein,Raja Hindustani,Film,1996,Hindi
Alka Yagnik,Dil Laga Liya Maine,Dil Hai Tumhaara,Film,2002,Hindi
Alka Yagnik,Oodhni,Tere Naam,Film,2003,Hindi
Alka Yagnik,Humne Tumko Dil Ye De Diya,Gunaah,Film,2002,Hindi
Alka Yagnik,Tumse Milna,Tere Naam,Film,2003,Hindi
Alka Yagnik,Sanam Mere Humraaz,Humraaz,Film,2002,Hindi
Alka Yagnik,Suraj Hua Maddham,Kabhi Khushi Kabhie Gham,Film,2001,Hindi
Alka Yagnik,O Re Chhori,Lagaan,Film,2001,Hindi
Alka Yagnik,Jaane Kyon,Dil Chahta Hai,Film,2001,Hindi
Alka Yagnik,Kasam Khake Kaho,Dil Hai Tumhaara,Film,2002,Hindi
Alka Yagnik,Seeli Hawa Choo Gayi,Lekin,Film,1990,Hindi
Alka Yagnik,Akele Hain To Kya Gham Hai,Qayamat Se Qayamat Tak,Film,1988,Hindi
Alka Yagnik,Gazab Ka Hai Din,Qayamat Se Qayamat Tak,Film,1988,Hindi
Alka Yagnik,Mohabbat Ho Gayee,Baadshah,Film,1999,Hindi
Alka Yagnik,Chalte Chalte,Mohabbatein,Film,2000,Hindi
Alka Yagnik,Haiya Hoo Kya Masti,Albela,Film,2001,Hindi
Alka Yagnik,Pehli Pehli Baar Hai,Kya Yehi Pyaar Hai,Film,2002,Hindi
Alka Yagnik,Chand Chhupa Badal Mein,Hum Dil De Chuke Sanam,Film,1999,Hindi
Alka Yagnik,Ramta Jogi,Taal,Film,1999,Hindi
Alka Yagnik,Dil Ne Yeh Kaha Hai Dil Se,Dhadkan,Film,2000,Hindi
Alka Yagnik,Ek Din Aap,Yes Boss,Film,1997,Hindi
Kumar Sanu,Ae Kaash Ke Hum,Kabhi Haan Kabhi Naa,Film,1994,Hindi
Kumar Sanu,Sambhala Hai Maine,Naaraz,Film,1994,Hindi
Kumar Sanu,Rooth Na Jaana,1942: A Love Story,Film,1994,Hindi
Kumar Sanu,Dil Ka Aalam,Aashiqui,Film,1990,Hindi
Kumar Sanu,Jab Se Tumko Dekha,Damini,Film,1993,Hindi
Kumar Sanu,Do Dil Mil Rahe Hain,Pardes,Film,1997,Hindi
Kumar Sanu,Ghoonghat Ki Aad Se,Hum Hain Rahi Pyar Ke,Film,1993,Hindi
Kumar Sanu,Yeh Dua Hai Meri Rab Se,Sapne Sajan Ke,Film,1992,Hindi
Kumar Sanu,Kahin Pyaar Na Ho Jaaye,Kahin Pyaar Na Ho Jaaye,Film,2000,Hindi
Kumar Sanu,Kasam Khake Kaho,Dil Hai Tumhaara,Film,2002,Hindi
Kumar Sanu,Ladki Badi Anjani Hai,Kuch Kuch Hota Hai,Film,1998,Hindi
Kumar Sanu,Woh Ladki Bahut Yaad Aati Hai,Qayamat,Film,2003,Hindi
Kumar Sanu,Dil Deewana Na Jaane Kab,Daag: The Fire,Film,1999,Hindi
Kumar Sanu,Adayein Bhi Hain,Dil Hai Ke Manta Nahin,Film,1991,Hindi
Kumar Sanu,Aane Wala Kal,Phir Teri Kahani Yaad Aayee,Film,1993,Hindi
Kumar Sanu,Chehra Kya Dekhte Ho,Salaami,Film,1994,Hindi
Kumar Sanu,Dil Mere,Sooryavansham,Film,1999,Hindi
Kumar Sanu,Pehli Baar Dil Ye,Hum Ho Gaye Aapke,Film,2001,Hindi
Kumar Sanu,Jeeta Tha Jiske Liye,Dilwale,Film,1994,Hindi
Kumar Sanu,Bas Ek Sanam Chaahiye,Aashiqui,Film,1990,Hindi
Kumar Sanu,Tu Mile Dil Khile,Criminal,Film,1995,Hindi
Kumar Sanu,Tera Mera Pyar,Tera Mera Pyar,Non-film,2004,Hindi
Kumar Sanu,Aap Ka Aana Dil Dhadkana,Kurukshetra,Film,2000,Hindi
Kumar Sanu,Love Tujhe Love Main,Barsaat,Film,1995,Hindi
Kumar Sanu,Teri Umeed Tera Intezar,Deewana,Film,1992,Hindi
Udit Narayan,Papa Kehte Hain,Qayamat Se Qayamat Tak,Film,1988,Hindi
Udit Narayan,Main Sehra Bandh Ke,Deewana Mujh Sa Nahin,Film,1990,Hindi
Udit Narayan,Ruk Ja O Dil Deewane,Dilwale Dulhania Le Jayenge,Film,1995,Hindi
Udit Narayan,Kya Kare Kya Na Kare,Rangeela,Film,1995,Hindi
Udit Narayan,Tumne Agar Pyaar Se,Raja,Film,1995,Hindi
Udit Narayan,Ram Jaane (Sad),Ram Jaane,Film,1995,Hindi
Udit Narayan,Ho Nahi Sakta,Diljale,Film,1996,Hindi
Udit Narayan,Jana Suno Hum Tum,Khamoshi: The Musical,Film,1996,Hindi
Udit Narayan,Ghar Se Nikalte Hi,Papa Kahte Hain,Film,1996,Hindi
Udit Narayan,Aaye Ho Meri Zindagi Mein (Male),Raja Hindustani,Film,1996,Hindi
Udit Narayan,Tu Bijli Hai,Rajkumar,Film,1996,Hindi
Udit Narayan,Ram Narayan Baaja Bajata,Saajan Chale Sasural,Film,1996,Hindi
Udit Narayan,O Soni O Soni,Bhairavi,Film,1996,Hindi
Udit Narayan,Jadoo Bhari,Dastak,Film,1996,Hindi
Udit Narayan,O Mummy Mummy,Deewana Mastana,Film,1997,Hindi
Udit Narayan,Ghunghte Mein Chanda,Koyla,Film,1997,Hindi
Udit Narayan,Meri Sanson Mein,Aur Pyaar Ho Gaya,Film,1997,Hindi
Udit Narayan,Woh Chand Jaisi Ladki,Devdas,Film,2002,Hindi
Udit Narayan,Tera Mera Saath Rahen (Male),Tera Mera Saath Rahen,Film,2001,Hindi
Udit Narayan,Rishta Tera Rishta Mera (Male),Rishtey,Film,2002,Hindi
Udit Narayan,Meri Neend Chura Le,Kuch Dil Ne Kaha,Film,2002,Hindi
Udit Narayan,Main Yahaan Hoon,Veer-Zaara,Film,2004,Hindi
Udit Narayan,Tasveer Teri Man Mein,Tasveer,Film,1989,Hindi
Udit Narayan,Mohabbat Jo Usne Banayi Na Hoti,Mera Shikaar,Film,1988,Hindi
Udit Narayan,Prabhuji Ajab Tihari Maya,Nal Damyanti,Film,1988,Hindi
Sonu Nigam,Kal Ho Naa Ho,Kal Ho Naa Ho,Film,2003,Hindi
Sonu Nigam,Tanhayee,Dil Chahta Hai,Film,2001,Hindi
Sonu Nigam,Saathiya,Saathiya,Film,2002,Hindi
Sonu Nigam,Jaane Nahin Denge Tujhe,3 Idiots,Film,2009,Hindi
Sonu Nigam,Sun Zara,Lucky: No Time for Love,Film,2005,Hindi
Sonu Nigam,Oh Mama Mama,Rehnaa Hai Terre Dil Mein,Film,2001,Hindi
Sonu Nigam,Kaise Main Kahoon Tujhse,Rehnaa Hai Terre Dil Mein,Film,2001,Hindi
Sonu Nigam,Bhagwan Hai Kahan Re Tu,PK,Film,2014,Hindi
Sonu Nigam,Phir Milenge Chalte Chalte,Rab Ne Bana Di Jodi,Film,2008,Hindi
Sonu Nigam,Ab Mujhe Raat Din,Deewana,Non-film,1999,Hindi
Sonu Nigam,Deewana Tera,Deewana,Non-film,1999,Hindi
Sonu Nigam,Kaun Hai Woh Ladki,Deewana,Non-film,1999,Hindi
Sonu Nigam,Is Kadar Pyar Hai Tumse,Deewana,Non-film,1999,Hindi
Sonu Nigam,Jaane Kyon Main Tujhko,Jaan,Non-film,2000,Hindi
Sonu Nigam,Kya Baat Hai O Jaane Jaan,Jaan,Non-film,2000,Hindi
Sonu Nigam,Deewane Hoke Hum,Jaan,Non-film,2000,Hindi
Sonu Nigam,Tujhe Choone Ko Dil Kare,Jaan,Non-film,2000,Hindi
Sonu Nigam,Jeena Hai Tere Liye,Yaad,Non-film,2001,Hindi
Sonu Nigam,Mere Siva,Yaad,Non-film,2001,Hindi
Sonu Nigam,Hum Na Jaane,Yaad,Non-film,2001,Hindi
Sonu Nigam,Mohabbat Kabhi Maine,Yaad,Non-film,2001,Hindi
Sonu Nigam,Ye Dil Tere Bin,Yaad,Non-film,2001,Hindi
Sonu Nigam,Chanda Ki Doli,Chanda Ki Doli,Non-film,2005,Hindi
Sonu Nigam,Kismat,Chanda Ki Doli,Non-film,2005,Hindi
Sonu Nigam,Maula,Chanda Ki Doli,Non-film,2005,Hindi
Shreya Ghoshal,Silsila Ye Chahat Ka,Devdas,Film,2002,Hindi
Shreya Ghoshal,Jaadu Hai Nasha Hai,Jism,Film,2003,Hindi
Shreya Ghoshal,Suna Suna,Krishna Cottage,Film,2004,Hindi
Shreya Ghoshal,Agar Tum Mil Jao,Zeher,Film,2005,Hindi
Shreya Ghoshal,O Saathi Re,Omkara,Film,2006,Hindi
Shreya Ghoshal,Yeh Ishq Hai,Jab We Met,Film,2007,Hindi
Shreya Ghoshal,Teri Ore,Singh Is Kinng,Film,2008,Hindi
Shreya Ghoshal,Leja Leja Re,Ustad & The Divas,Non-film,2008,Hindi
Shreya Ghoshal,Aaj Dil Gustakh Hai,Blue,Film,2009,Hindi
Shreya Ghoshal,Bahara,I Hate Luv Storys,Film,2010,Hindi
Shreya Ghoshal,Rab Rakha,Love Breakups Zindagi,Film,2011,Hindi
Shreya Ghoshal,Saans (Reprise),Jab Tak Hai Jaan,Film,2012,Hindi
Shreya Ghoshal,Sunn Raha Hai (Female),Aashiqui 2,Film,2013,Hindi
Shreya Ghoshal,Samjhawan (Unplugged),Humpty Sharma Ki Dulhania,Film,2014,Hindi
Shreya Ghoshal,Deewani Mastani,Bajirao Mastani,Film,2015,Hindi
Shreya Ghoshal,Tere Bina,Haseena Parkar,Film,2017,Hindi
Shreya Ghoshal,Ghoomar,Padmaavat,Film,2018,Hindi
Shreya Ghoshal,Ghar More Pardesiya,Kalank,Film,2019,Hindi
Shreya Ghoshal,Apni Maati,,Non-film,2020,Hindi
Shreya Ghoshal,Oh Sanam,,Non-film,2021,Hindi
Shreya Ghoshal,Jab Saiyaan,Gangubai Kathiawadi,Film,2022,Hindi
Shreya Ghoshal,Naam Na Lenge,,Non-film,2022,Hindi
Shreya Ghoshal,Tum Kya Mile,Rocky Aur Rani Kii Prem Kahaani,Film,2023,Hindi
Shreya Ghoshal,Main Royaan,,Non-film,2023,Hindi
Shreya Ghoshal,Dheeme Dheeme,,Non-film,2024,Hindi
Arijit Singh,Phir Mohabbat,Murder 2,Film,2011,Hindi
Arijit Singh,Tum Hi Ho,Aashiqui 2,Film,2013,Hindi
Arijit Singh,Aasan Nahi Yahan,Aashiqui 2,Film,2013,Hindi
Arijit Singh,Main Dhoondne Ko Zamaane Mein,Heartless,Film,2014,Hindi
Arijit Singh,Muskurane,CityLights,Film,2014,Hindi
Arijit Singh,Hamari Adhuri Kahani,Hamari Adhuri Kahani,Film,2015,Hindi
Arijit Singh,Chunar,ABCD 2,Film,2015,Hindi
Arijit Singh,Soch Na Sake,Airlift,Film,2016,Hindi
Arijit Singh,Channa Mereya,Ae Dil Hai Mushkil,Film,2016,Hindi
Arijit Singh,Ae Dil Hai Mushkil,Ae Dil Hai Mushkil,Film,2016,Hindi
Arijit Singh,Phir Bhi Tumko Chaahunga,Half Girlfriend,Film,2017,Hindi
Arijit Singh,Tera Fitoor,Genius,Film,2018,Hindi
Arijit Singh,Pachtaoge,,Non-film,2019,Hindi
Arijit Singh,Ghungroo,War,Film,2019,Hindi
Arijit Singh,Shayad,Love Aaj Kal,Film,2020,Hindi
Arijit Singh,Chal Wahan Jaate Hain,,Non-film,2020,Hindi
Arijit Singh,Aabaad Barbaad,Ludo,Film,2020,Hindi
Arijit Singh,Lehra Do,83,Film,2021,Hindi
Arijit Singh,Rait Zara Si,Atrangi Re,Film,2021,Hindi
Arijit Singh,Kesariya,Brahmastra,Film,2022,Hindi
Arijit Singh,Apna Bana Le,Bhediya,Film,2022,Hindi
Arijit Singh,O Bedardeya,Tu Jhoothi Main Makkaar,Film,2023,Hindi
Arijit Singh,Maan Le,Chitrakut,Film,2023,Hindi
Arijit Singh,Satranga,Animal,Film,2023,Hindi
Arijit Singh,Vidaa,,Non-film,2024,Hindi
Shaan,Musu Musu,Pyaar Mein Kabhi Kabhi,Film,1999,Hindi
Shaan,Woh Pehli Baar,Pyaar Mein Kabhi Kabhi,Film,1999,Hindi
Shaan,Tanha Dil,Tanha Dil,Non-film,2000,Hindi
Shaan,Apni Yaadon Ko,Pyaar Ishq Aur Mohabbat,Film,2001,Hindi
Shaan,Bolo Bolo,Rehnaa Hai Terre Dil Mein,Film,2001,Hindi
Shaan,Mere Samnewali Khidki Mein,Dil Vil Pyar Vyar,Film,2002,Hindi
Shaan,Suno Na,Jhankaar Beats,Film,2003,Hindi
Shaan,Kuch Aisa Jahan,Bas Itna Sa Khwaab Hai,Film,2003,Hindi
Shaan,Gum Sum Ho Kyon,,Non-film,2004,Hindi
Shaan,Main Aisa Kyon Hoon,Lakshya,Film,2004,Hindi
Shaan,Aksar,,Non-film,2006,Hindi
Shaan,Jab Se Tere Naina,Saawariya,Film,2007,Hindi
Shaan,Aao Milo Chalo,Jab We Met,Film,2007,Hindi
Shaan,Behti Hawa Sa Tha Woh,3 Idiots,Film,2009,Hindi
Shaan,Tere Naina,My Name Is Khan,Film,2010,Hindi
Shaan,I Love You,Bodyguard,Film,2011,Hindi
Shaan,Aaj Unse Milna Hai,Prem Ratan Dhan Payo,Film,2015,Hindi
Shaan,Tum Ho Toh Lagta Hain,,Non-film,2016,Hindi
Shaan,Tu Kahe Toh,Haasil,Film,2018,Hindi
Shaan,Back To School,,Non-film,2020,Hindi
Shaan,Main Tujhko Yaad Karta Hoon,,Non-film,2021,Hindi
Shaan,Ishaan's Theme,Ishaan,Film,2022,Hindi
Shaan,Manchala,,Non-film,2022,Hindi
Shaan,Bolo Na,12th Fail,Film,2023,Hindi
Shaan,Rang Ishq Ka,,Non-film,2024,Hindi
Abhijeet Bhattacharya,Ek Chanchal Shokh Haseena,Baaghi,Film,1990,Hindi
Abhijeet Bhattacharya,Wada Raha Sanam,Khiladi,Film,1992,Hindi
Abhijeet Bhattacharya,Main Koi Aisa Geet Gaoon,Yes Boss,Film,1997,Hindi
Abhijeet Bhattacharya,Chaand Taare,Yes Boss,Film,1997,Hindi
Abhijeet Bhattacharya,Suniye To,Yes Boss,Film,1997,Hindi
Abhijeet Bhattacharya,Bahut Khoobsurat Ho,Khoobsurat,Film,1999,Hindi
Abhijeet Bhattacharya,Woh Ladki Jo,Baadshah,Film,1999,Hindi
Abhijeet Bhattacharya,Kabhi Yaadon Mein Aaun,,Non-film,2003,Hindi
Abhijeet Bhattacharya,Suno Na Suno Na,Chalte Chalte,Film,2003,Hindi
Abhijeet Bhattacharya,Chalte Chalte,Chalte Chalte,Film,2003,Hindi
Abhijeet Bhattacharya,Lamha Lamha,,Non-film,2005,Hindi
Abhijeet Bhattacharya,Main Deewana Hoon,,Non-film,2006,Hindi
Abhijeet Bhattacharya,Dilbara,Dhoom,Film,2004,Hindi
Abhijeet Bhattacharya,Mujhe Kanhaiya Kaha Karo,,Non-film,2008,Hindi
Abhijeet Bhattacharya,Tere Bina,,Non-film,2010,Hindi
Abhijeet Bhattacharya,Dil Kaa Jo Haal Hai,Besharam,Film,2013,Hindi
Abhijeet Bhattacharya,Sanam O Sanam,Pehchaan,Film,1993,Hindi
Abhijeet Bhattacharya,Badi Mushkil Hai,Anjaam,Film,1994,Hindi
Abhijeet Bhattacharya,Yeh Teri Aankhen Jhuki Jhuki,Fareb,Film,1996,Hindi
Abhijeet Bhattacharya,Tumhain Kaise Main Bataoo,Dastak,Film,1996,Hindi
Abhijeet Bhattacharya,Main Hoon Akela,Mohabbat,Film,1997,Hindi
Abhijeet Bhattacharya,Tum Agar Samne,Raaz,Film,2002,Hindi
Abhijeet Bhattacharya,Main Agar Saamne,Raaz,Film,2002,Hindi
Abhijeet Bhattacharya,Aitbaar Nahi Karna,Qayamat,Film,2003,Hindi
Abhijeet Bhattacharya,Zara Dekh Mera Deewanapan,Footpath,Film,2003,Hindi
Himesh Reshammiya,Aashiq Banaya Aapne,Aashiq Banaya Aapne,Film,2005,Hindi
Himesh Reshammiya,Jhalak Dikhla Ja,Aksar,Film,2006,Hindi
Himesh Reshammiya,Naam Hai Tera,,Non-film,2006,Hindi
Himesh Reshammiya,Tera Surroor,,Non-film,2006,Hindi
Himesh Reshammiya,Aap Ki Khatir,Aap Ki Khatir,Film,2006,Hindi
Himesh Reshammiya,Ulfat,Nanhe Jaisalmer,Film,2007,Hindi
Himesh Reshammiya,Tanhaiyan,Aap Kaa Surroor,Film,2007,Hindi
Himesh Reshammiya,Hari Om,Karzzzz,Film,2008,Hindi
Himesh Reshammiya,Mann Ka Radio,Radio,Film,2009,Hindi
Himesh Reshammiya,Tere Bina,Damadamm!,Film,2011,Hindi
Himesh Reshammiya,Lonely,Khiladi 786,Film,2012,Hindi
Himesh Reshammiya,Hum Pagal Nahi Hai,Humshakals,Film,2014,Hindi
Himesh Reshammiya,Dard Dilo Ke,The Xpose,Film,2014,Hindi
Himesh Reshammiya,Bachpan Kahan,Prem Ratan Dhan Payo,Film,2015,Hindi
Himesh Reshammiya,Bewajah,Sanam Teri Kasam,Film,2016,Hindi
Himesh Reshammiya,Teri Yaad,Teraa Surroor,Film,2016,Hindi
Himesh Reshammiya,Jhalak Dikhlaja Reloaded,The Body,Film,2019,Hindi
Himesh Reshammiya,Heer Tu Meri,Happy Hardy and Heer,Film,2020,Hindi
Himesh Reshammiya,Teri Meri Kahani,Happy Hardy and Heer,Film,2020,Hindi
Himesh Reshammiya,Surroor Tera,,Non-film,2021,Hindi
Himesh Reshammiya,Saansein,,Non-film,2021,Hindi
Himesh Reshammiya,Jee Rahe The Hum,Kisi Ka Bhai Kisi Ki Jaan,Film,2023,Hindi
Himesh Reshammiya,Ganpati Gajaanan,,Non-film,2023,Hindi
Himesh Reshammiya,Butterfly Titliyan,Badass Ravi Kumar,Film,2024,Hindi
Himesh Reshammiya,Piya Jaise Ladoo Motichur Wale,,Non-film,2024,Hindi
Jagjit Singh,Apni Aankhon Ke Samundar Mein,,Non-film,1990,Hindi
Jagjit Singh,O Maa Tujhe Salaam,Khalnayak,Film,1993,Hindi
Jagjit Singh,Hoshwalon Ko Khabar Kya,Sarfarosh,Film,1999,Hindi
Jagjit Singh,Kiska Chehra,Tarkieb,Film,2000,Hindi
Jagjit Singh,Koi Fariyaad,Tum Bin,Film,2001,Hindi
Jagjit Singh,Badi Nazuk Hai,Joggers' Park,Film,2003,Hindi
Jagjit Singh,Aisi Aankhen Nahin Dekhi,Aapko Pehle Bhi Kahin Dekha Hai,Film,2003,Hindi
Jagjit Singh,Tere Aane Ki Jab Khabar Mehke,,Non-film,2004,Hindi
Jagjit Singh,Chitthi Na Koi Sandesh,Dushman,Film,1998,Hindi
Jagjit Singh,Hazaar Baar Ruke Hum,Mammo,Film,1994,Hindi
Jagjit Singh,Yun To Guzar Raha Hai,Deham,Film,2001,Hindi
Jagjit Singh,Jaag Ke Kati,Leela,Film,2002,Hindi
Jagjit Singh,Benaam Sa Ye Dard,Doop,Film,2003,Hindi
Jagjit Singh,Haath Choote,Pinjar,Film,2003,Hindi
Jagjit Singh,Khumari Chadh Ke Utar Gayi,Umar,Film,2006,Hindi
Jagjit Singh,Kehta Hai Baabul,Baabul,Film,2006,Hindi
Jagjit Singh,Tum Paas Aa Rahe Ho,Veer-Zaara,Film,2004,Hindi
Jagjit Singh,Tera Chehra Kitna Suhana Lagta Hai,,Non-film,2005,Hindi
Jagjit Singh,Pyaar Ka Pehla Khat,,Non-film,2002,Hindi
Jagjit Singh,Shaam Hone Ko Hai,,Non-film,2005,Hindi
Jagjit Singh,Aap Aaye Hain,,Non-film,2009,Hindi
Jagjit Singh,Bhool Jaana,"Shahrukh Bola ""Khoobsurat Hai Tu""",Film,2010,Hindi
Jagjit Singh,Tumse Bichhad Kar,Khap,Film,2011,Hindi
Jagjit Singh,Woh Kagaz Ki Kashti,Aaj,Film,1990,Hindi
Jagjit Singh,Jeevan Kya Hai,,Non-film,2000,Hindi
Pankaj Udhas,Mahiya Teri Kasam,Ghayal,Film,1990,Hindi
Pankaj Udhas,Jeeye To Jeeye Kaise,Saajan,Film,1991,Hindi
Pankaj Udhas,Chhupana Bhi Nahi Aata,Baazigar,Film,1993,Hindi
Pankaj Udhas,Dil Deta Hai Ro Ro Dohai,Phir Teri Kahani Yaad Aayee,Film,1993,Hindi
Pankaj Udhas,Na Kajre Ki Dhar,Mohra,Film,1994,Hindi
Pankaj Udhas,Aadmi Khilona Hai,Aadmi Khilona Hai,Film,1993,Hindi
Pankaj Udhas,Rishta Tera Mera,Jai Vikraanta,Film,1994,Hindi
Pankaj Udhas,Aankh Mere Yaar Ki Dukhe,Ek Hi Raasta,Film,1993,Hindi
Pankaj Udhas,Khuda Kare Mohabbat Mein,Sanam,Film,1997,Hindi
Pankaj Udhas,Ahista,,Non-film,1998,Hindi
Pankaj Udhas,Ghungroo Toot Gaye,,Non-film,2000,Hindi
Pankaj Udhas,Chandi Jaisa Rang,,Non-film,2001,Hindi
Pankaj Udhas,Ek Taraf Uska Ghar,,Non-film,2003,Hindi
Pankaj Udhas,Aur Bhala Kya Maangu Main Rab Se,,Non-film,2005,Hindi
Pankaj Udhas,Woh Ladki Yaad Aati Hai,,Non-film,2006,Hindi
Pankaj Udhas,Aap Jinke Kareeb Hote Hain,,Non-film,2008,Hindi
Pankaj Udhas,Sharab Cheez Hi Aisi Hai,,Non-film,2010,Hindi
Pankaj Udhas,Maikhane Se Sharab Se,,Non-film,2011,Hindi
Pankaj Udhas,Dasht-E-Tanhai Mein,,Non-film,2013,Hindi
Pankaj Udhas,Chitthi Aayi Hai,Naam,Film,1990,Hindi
Pankaj Udhas,Niklo Na Benaqab,,Non-film,2006,Hindi
Pankaj Udhas,Dukh Sukh Tha Ek Sabka,Bhavna,Film,1994,Hindi
Pankaj Udhas,Yaad,,Non-film,2015,Hindi
Pankaj Udhas,Tere Dar Ko Chhod Chale,Ganga Jamuna Saraswati,Film,1990,Hindi
Pankaj Udhas,Deewaron Se Milkar Rona,,Non-film,1999,Hindi
Sunidhi Chauhan,Bol Deewane Bol,,Non-film,2001,Hindi
Sunidhi Chauhan,Dil Yeh To Mera,,Non-film,2001,Hindi
Sunidhi Chauhan,Kyun Main Naa Jaanoon,,Non-film,2001,Hindi
Sunidhi Chauhan,Maine Yeh Socha Hai,,Non-film,2001,Hindi
Sunidhi Chauhan,Mahiya,,Non-film,2001,Hindi
Sunidhi Chauhan,Dil Tu Hai Rangeela,,Non-film,2001,Hindi
Sunidhi Chauhan,Main Sawali Saloni,,Non-film,2001,Hindi
Sunidhi Chauhan,Pehla Nasha Hai,,Non-film,2001,Hindi
Sunidhi Chauhan,Bhaage Re Mann,Chameli,Film,2004,Hindi
Sunidhi Chauhan,Aisa Jadoo,Khakee,Film,2004,Hindi
Sunidhi Chauhan,Dhoom Machale,Dhoom,Film,2004,Hindi
Sunidhi Chauhan,Ishq Kabhi Kariyo Na,Musafir,Film,2004,Hindi
